Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
AIRHE PSICOLOGIA;37-C22-0690;CL. POLLO MARTIN 33   A;37005;SALAMANCA;SALAMANCA;655846469;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);VAZQUEZ MALMIERCA , MARIA ARANZAZU;PRIVADOS;40.971016, -5.6591490094867565
AJ CLINIC;47-C21-0466;CL. DEL VAL  7;47003;VALLADOLID;VALLADOLID;635974516;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;SOFITELLIS S.L.;PRIVADOS;41.65317, -4.727694
AJUPAREVA;47-C3-0324;AV. VALLE ESGUEVA 8- BAJO;47011;VALLADOLID;VALLADOLID;635957473;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#PSIQUIATRIA;AJUPAREVA;PRIVADOS;41.667235, -4.6851972
ALAIN AFFLELOU OPTICO;24-E3-0020;CL. CONSTITUCION 2 C.C. EL ROSAL LOCAL 155;24404;PONFERRADA;LEON;987406707;987406707;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE OPTICA;ESUTESIL S.L.;PRIVADOS;42.5555401, -6.60376
ALAIN AFFLELOU OPTICO;47-E-0024;AV. MONASTERIO NUESTRA SEÑORA DEL PRADO 5;47014;VALLADOLID;VALLADOLID;983379915;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE OPTICA;ARATA VISION S.L.;PRIVADOS;41.6358831, -4.7522311
ALAIN AFFLELOU OPTICO;47-E3-0019;CL. MANTERIA 32 LOCAL;47004;VALLADOLID;VALLADOLID;983396697;0;ESTABLECIMIENTO DE OPTICA;ESTABLECIMIENTO DE OPTICA;ARATA VISION S.L.;PRIVADOS;41.6483328, -4.7214158
ALAIN AFFLELOU OPTICO;47-E3-0029;CL. COSTA BRAVA 2 CENTRO COMERCIAL CARREFOUR 2;47010;VALLADOLID;VALLADOLID;651397395;0;ESTABLECIMIENTO DE OPTICA;ESTABLECIMIENTO DE OPTICA;ARATA VISION S.L.;PRIVADOS;41.6689418, -4.7102178
ALAIN AFFLELOU OPTICO;37-E-0009;AV. AGUSTINOS RECOLETOS N 1-35 LOCAL 12 C.C. CARRE;37005;SALAMANCA;SALAMANCA;923248800;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;AAO OPTICO S.A.U.;PRIVADOS;40.9798691, -5.6636454
ALAIN AFFLELOU OPTICO CALLE TORO;37-E-0059;CL. TORO 100;37002;SALAMANCA;SALAMANCA;936756804;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;AAO OPTICO S.A.U.;PRIVADOS;40.9679663, -5.6610917
ALAIN AFFLELOU OPTICO Y AUDIOLOGO;47-E3-0017;PS. ZORRILLA 40;47006;VALLADOLID;VALLADOLID;983376264;0;ESTABLECIMIENTO DE OPTICA;ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;ARATA VISION S.L.;;41.644964, -4.734396
ALAIN AFFLELOU OPTICO Y AUDIOLOGO;42-E-0006;AV. DE LA ALEGRIA, CENTRO COMERCIAL LAS CAMARETAS, LOCAL 60;42190;GOLMAYO;SORIA;975249930;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;AAO OPTICO S.A.U.;PRIVADOS;41.7764741, -2.5609088
ALBA FAUNDEZ PSICOLOGIA;49-C22-0218;CL. NUÑEZ DE BALBOA 16;49030;ZAMORA;ZAMORA;980557368;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);FAUNDEZ RIVAS , ALBA;PRIVADOS;41.510876, -5.734168
ALBA MERIDEÑO PSICOLOGIA;37-C22-0574;CL. TORO, N. 78-82, ENTREPLANTA - OFICINA 2. IZQ.;37002;SALAMANCA;SALAMANCA;635435080;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MERIDEÑO BULNES , MARIA ALBA;PRIVADOS;40.9681578, -5.6608485
ALCAVA;05-C22-0233;CL. REJERO LORENZO DE AVILA, 4  5;05004;AVILA;AVILA;660838793;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ALCAVA SPORTCLINIC, S.L.;PRIVADOS;40.6612752, -4.6746411
ALEJANDRA JULIO PSICOLOGIA;34-C22-0093;CL. MARIA DE MOLINA 7;34001;PALENCIA;PALENCIA;650401947;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);JULIO BERRIO , ANSELMA A;PRIVADOS;42.0033954, -4.5261063
ALERGIASMA;09-C2590-0048;CL. CRUZ ROJA HOSPITAL RECOLETAS DE BURGOS 0;09006;BURGOS;BURGOS;659693320;947240424;CONSULTAS MEDICAS;ALERGOLOGIA;ALERGIASMABUR S.C.P.;PRIVADOS;42.3440701, -3.68321
ALICIA CALVO LOGOPEDIA;47-C22-0642;PS. ISABEL LA CATOLICA 8- LOCAL;null;VALLADOLID;VALLADOLID;660874747;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;CALVO GOBERNADO , ALICIA;PRIVADOS;41.6521807, -4.728605
ALICIA GONZALEZ MARTINEZ GABINETE DE PSICOLOGIA ALETHEIA;09-C22-0184;CL. PRINCIPE DE ASTURIAS (CLINICA VITALI) N. 2-BJ 3;09500;MEDINA DE POMAR;BURGOS;947191790;947191790;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);GONZALEZ MARTINEZ , ALICIA;PRIVADOS;42.93281, -3.48551
ALICIAGM FISIOTERAPIA;09-C22-0415;CL. VITORIA 127;09006;BURGOS;BURGOS;615217654;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ARNAIZ GARCIA-MORATO , ALICIA;PRIVADOS;42.347932, -3.679236
ALMUDENA ALONSO SANZ NEUROPSICOLOGIA Y PSICOLOGIA SANITARIA;40-C22-0163;CL. LA PLATA 56;40005;SEGOVIA;SEGOVIA;655960860;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ALONSO SANZ , ALMUDENA;PRIVADOS;40.9410478, -4.1144778
ALZALAVOZYSONRIE CLINICA DE LOGOPEDIA Y PSICOLOGIA;37-C22-0616;CL. VALENCIA 8;37005;SALAMANCA;SALAMANCA;672193956;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ALZALAVOZ Y SONRIE C.B.;PRIVADOS;40.970728, -5.65979
AMBU-AVILA CENTRO MOVIL DE ASISTENCIA SANITARIA SA-01382-R;05-C257-0005;PG. P.I. VICOLOZANO -C/ BARCELONA, 59;05194;AVILA;AVILA;619288795;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;URGENCIAS;AMBU-AVILA S.L.;PRIVADOS;40.6803519, -4.6209927
AMBUIBERICA;47-C290-0009;CL. TAMBORILA SN;47610;VALLADOLID;VALLADOLID;902180059;983344623;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;AMBUIBERICA S.L.;PRIVADOS;41.6640851, -4.7818049
AMBUIBERICA;09-C290-0030;CL. ALFOZ DE BRICIA, PARC. 129 (P. I. VILLALONQUEJAR IV);09001;BURGOS;BURGOS;902180059;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;DEPOSITO DE MEDICAMENTOS#TRANSPORTE SANITARIO;AMBUIBERICA S.L.;PRIVADOS;42.343926, -3.696977
AMBUIBERICA S.L.;34-C290-0002;CL. ITALIA 227;34004;PALENCIA;PALENCIA;902180059;983344623;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;AMBUIBERICA S.L.;PRIVADOS;42.0017649, -4.511284
AMBUIBERICA S.L. S.V.A.;34-C257-0004;CL. ITALIA 227;34004;PALENCIA;PALENCIA;902180059;979165819;CENTROS MOVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBUIBERICA S.L.;PRIVADOS;42.00225, -4.51163
AMBULANCIAS AMBU-AVILA SVA;05-C257-0007;PG. VICOLOZANO, PARCELA 59, NAVE 8;05000;AVILA;AVILA;619288795;920259183;CENTROS MOVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBU-AVILA S.L.;PRIVADOS;40.656478, -4.7002172
AMBULANCIAS ENRIQUE BLANCO;24-C290-0024;CL. FERNANDO III EL SANTO 20;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;ENRIQUE BLANCO S.L.;PRIVADOS;42.6062326, -5.5689125
AMBULANCIAS FABIAN MARTIN;37-C290-0002;AV. DE PORTUGAL 276;37006;SALAMANCA;SALAMANCA;689411878;923282043;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;AMBULANCIAS FABIAN MARTIN S.L.U.;PRIVADOS;40.9731575, -5.6767005
AMBULANCIAS FABIAN MARTIN S.V.A.;37-C290-0011;CM. DE CABRERIZOS 12;37184;VILLARES DE LA REINA;SALAMANCA;923265526;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;DEPOSITO DE MEDICAMENTOS#TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS FABIAN MARTIN S.L.U.;PRIVADOS;40.995783, -5.6328072
AMBULANCIAS NORTELEON S.L.S.V.A.;24-C257-0024;TR. CAMINO DE SANTIAGO NAVE F-6;24227;VALDELAFUENTE;LEON;987102100;987789060;CENTROS MOVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS NORTELEON S.L.;PRIVADOS;42.5666366, -5.4943691
AMBULANCIAS PEREZ;24-C290-0037;AV. FERNANDO DE CASTRO 13;24320;SAHAGUN;LEON;0;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;PEREZ CHICO , RAMIRO;PRIVADOS;42.3691928, -5.0266045
AMBULANCIAS PEREZ S.L.;24-C257-0027;AV. FERNANDO DE CASTRO 13;24320;SAHAGUN;LEON;627728805;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;URGENCIAS;PEREZ CHICO , RAMIRO;;42.3693881, -5.0279823
AMBULANCIAS RODRIGO;37-C290-0020;CM. DE CABRERIZOS 12;37184;VILLARES DE LA REINA;SALAMANCA;902180059;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;DEPOSITO DE MEDICAMENTOS#TRANSPORTE SANITARIO;AMBULANCIAS RODRIGO S.L.;PRIVADOS;40.9969025, -5.6345039
AMBULANCIAS RODRIGO ANTENCION DOMICILIARIA;37-C257-0024;CM. CABRERIZOS 12;37184;VILLARES DE LA REINA;SALAMANCA;902180059;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;ATENCION SANITARIA DOMICILIARIA#CUIDADOS PALIATIVOS#URGENCIAS;AMBULANCIAS RODRIGO S.L.;PRIVADOS;40.99556, -5.633114
AMBULANCIAS RODRIGO, AVILA;05-C290-0002;CL. RIO PISUERGA 13-14;05004;AVILA;AVILA;920352500;920250358;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS RODRIGO S.L.;PRIVADOS;40.6697021, -4.6864985
AMBULANCIAS RODRIGO C257 LEON;24-C257-0035;CR. CORBILLOS 6;24228;VALDEFRESNO;LEON;0;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS RODRIGO S.L.;PRIVADOS;42.586083, -5.510932
AMBULANCIAS RODRIGO C290 LEON;24-C290-0049;CR. CORBILLOS 6;24228;VALDEFRESNO;LEON;0;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;DEPOSITO DE MEDICAMENTOS#TRANSPORTE SANITARIO;AMBULANCIAS RODRIGO S.L.;PRIVADOS;42.586083, -5.510932
AMIGO DENTAL;24-C251-0246;AV. DE GALICIA 45  I;24404;PONFERRADA;LEON;987429376;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RODRIGUEZ AMIGO , MARCOS;PRIVADOS;42.5585739, -6.6213516
AMPLIGEN DIAGNOSTICOS;24-C256-0025;CL. RODRIGO YAÑEZ 12;24401;PONFERRADA;LEON;987417110;0;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;GENETICA;AMPLIGEN DIAGNOSTICOS S.L.;PRIVADOS;42.5422131, -6.5910003
AMUYEN PSICOTERAPIA  CONSULTA DE PSICOLOGIA NOEMI MELCHOR VELAYOS;05-C22-0236;PS. DE SAN ROQUE, 23  2;05003;AVILA;AVILA;686539882;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MELCHOR VELAYOS , NOEMI;PRIVADOS;40.6534742, -4.6867644
AMUYEN PSICOTERAPIA NOEMI MELCHOR;37-C22-0702;CL. CERRADA DEL CORRILLO 2;37002;SALAMANCA;SALAMANCA;686539882;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MELCHOR VELAYOS , NOEMI;PRIVADOS;40.964646450000004, -5.664740961300005
ANA ARIJA DIEZ PSICOLOGA (EN KAIZEN);34-C22-0200;CL. HIJAS DE LA CARIDAD 8;34004;PALENCIA;PALENCIA;610281243;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ARIJA DIEZ , ANA;PRIVADOS;42.010668, -4.517678
ANA CLINICA DENTAL;40-C251-0114;PZ. DEL SEDEÑO 6;40450;NAVA DE LA ASUNCION;SEGOVIA;921580600;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;FUENTE MARTIN , ANA;PRIVADOS;41.1557355, -4.4881864
ANA MARIA DE ANTONA PSICOLOGA;40-C22-0157;CL. COTERA DE LEON 8 BAJO   A;40005;SEGOVIA;SEGOVIA;619018772;62229120;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);DE ANTONA MARTIN , ANA MARIA;PRIVADOS;40.93943, -4.107765
ANA MATE DIETISTA;09-C22-0381;CL. CRISTOBAL ACUÑA N 2 ESQ. CON GARIEL TABORIN;09006;BURGOS;BURGOS;640648759;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA);RUA MATE , ANA;PRIVADOS;42.352385, -3.713103
ANAAN PSICOTERAPIA;47-C22-0639;PS. ISABEL LA CATOLICA 8- LOCAL;47001;VALLADOLID;VALLADOLID;657060942;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ANDRES FERNANDEZ , ANA ROSA;PRIVADOS;41.6521807, -4.728605
ANAYA PSICOLOGIA;24-C22-0125;CL. RENUEVA 11  C;24002;LEON;LEON;987094618;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES;LOMBO RODRIGUEZ , JOSE;PRIVADOS;42.6018325, -5.57326
ANDACLINIC;40-C22-0177;CL. SEGOVIA 1;40450;NAVA DE LA ASUNCION;SEGOVIA;629444858;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BERNALDO DE QUIROS MARTIN , DANIEL;PRIVADOS;41.153275, -4.486972
ANDREA GONZALEZ;40-C22-0187;PZ. VICENTE ESPINEL 1;40006;SEGOVIA;SEGOVIA;689536546;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;GONZALEZ MARTIN , ANDREA;PRIVADOS;40.9337618, -4.0991241
ANDREA TEODORO NUTRICION;47-C22-0691;CL. VILLANUEVA 3 - LOCAL;47013;VALLADOLID;VALLADOLID;682289203;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;NUTRICION Y DIETETICA;TEODORO POMBERO , ANDREA;PRIVADOS;41.528611, -4.863314
ANGEL NIETO PEREA FISIOTERAPIA;47-C22-0638;PS. DE FARNESIO 5;47013;VALLADOLID;VALLADOLID;658307871;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;NIETO PEREA , ANGEL;PRIVADOS;41.6521807, -4.728605
ANGELA PARDO NUTRICION;05-C22-0218;CL. CIUDAD DE TOLEDO, 1  1;05004;AVILA;AVILA;633114177;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA);PARDO RISCO , ANGELA;PRIVADOS;40.669809, -4.656839
ANTARTIDA DENTAL;05-C251-0077;TR. DE CASILLAS, 1;05420;SOTILLO DE LA ADRADA;AVILA;918668056;678652306;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ANTARTIDA DENTAL SL UNIPERSONAL;PRIVADOS;40.2928552, -4.5805455
APEGATE PSICOLOGIA;09-C22-0320;AV. DE LA PAZ 26  C;09004;BURGOS;BURGOS;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);YUGUERO MENDIZABAL , MARTA;PRIVADOS;42.3456532, -3.689832
APEX CLINICA DENTAL;49-C251-0114;CL. CERVANTES 4;49015;ZAMORA;ZAMORA;615520332;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;VICENTE RUBIO , PAULA;PRIVADOS;41.509988, -5.740846
APOFIS FISIOTERAPIA;09-C22-0263;CL. CRISTOBAL COLON 4;09005;BURGOS;BURGOS;947100077;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SAETA CAMPO , MARTA;PRIVADOS;42.3482936, -3.694971
